algorithm,size,seed,rule,lookahead,found,steps_taken,total_cost,total_runtime_ms,replans,updates,total_nodes_expanded,total_replan_time_ms,w,N,k,m,spike_cost
D*Lite,80x80,7,Local Cost Spiking,0,1,154,586.0,99.1820003837347,16,15,6355,97.42808528244495,,10,5,5,50
UCS,80x80,8,Local Cost Spiking,0,1,168,634.0,146.56987413764,17,16,76797,144.73204500973225,,10,5,5,50
A*,80x80,8,Local Cost Spiking,0,1,168,628.0,143.0707909166813,17,16,67493,141.57049357891083,,10,5,5,50
wA*,80x80,8,Local Cost Spiking,0,1,170,629.0,128.14641557633877,17,16,54446,126.64628773927689,2.0,10,5,5,50
GBFS,80x80,8,Local Cost Spiking,0,1,154,1435.0,1.8612928688526154,16,15,1280,1.6752071678638458,,10,5,5,50
D*Lite,80x80,8,Local Cost Spiking,0,1,168,632.0,103.36828976869583,17,16,6437,101.41079127788544,,10,5,5,50
UCS,80x80,9,Local Cost Spiking,0,1,156,584.0,127.54504010081291,16,15,69552,126.02145969867706,,10,5,5,50
A*,80x80,9,Local Cost Spiking,0,1,158,617.0,122.96641618013382,16,15,60533,121.67712487280369,,10,5,5,50
wA*,80x80,9,Local Cost Spiking,0,1,158,619.0,106.38345777988434,16,15,49252,105.22045753896236,2.0,10,5,5,50
GBFS,80x80,9,Local Cost Spiking,0,1,154,1460.0,1.707790419459343,16,15,1280,1.5339124947786331,,10,5,5,50
D*Lite,80x80,9,Local Cost Spiking,0,1,158,619.0,96.42254188656807,16,15,6410,94.72491964697838,,10,5,5,50
